#Label,Lat,Lng,Height,Time
Ground1,44.0654115678,-93.5370377761,313.231,3:39:06 PM
Ground2,44.0651563394,-93.5370385165,312.622,3:38:37 PM
Ground3,44.0648856493,-93.5370836638,312.267,3:37:42 PM
Ground4,44.0648866895,-93.5374456532,311.935,3:37:09 PM
Ground5,44.0648828804,-93.5378168953,311.693,3:36:36 PM
Ground6,44.0648828706,-93.5381909075,311.495,3:36:03 PM
Ground7,44.0648803823,-93.5385619490,311.544,3:35:32 PM
Ground8,44.0648763165,-93.5389236447,311.928,3:35:00 PM
Ground9,44.0648673386,-93.5392839806,312.323,3:34:28 PM
Ground10,44.0648649804,-93.5396609466,312.654,3:33:56 PM
Ground11,44.0651312719,-93.5396650393,313.337,3:33:27 PM
Ground12,44.0653986294,-93.5396679975,313.786,3:32:56 PM
Ground13,44.0656741173,-93.5396710980,314.344,3:31:56 PM
Ground14,44.0656751880,-93.5392980891,314.368,3:31:27 PM
Ground15,44.0656764668,-93.5389246333,314.518,3:31:00 PM
Ground16,44.0656794383,-93.5385493285,314.575,3:30:33 PM
Ground17,44.0656795149,-93.5381721751,314.768,3:30:03 PM
Ground18,44.0656796337,-93.5377902575,314.845,3:29:33 PM
Ground19,44.0656801939,-93.5374137779,314.433,3:29:03 PM
Ground20,44.0656715528,-93.5370587030,314.046,3:28:34 PM
