#Label,Lat,Lng,Height,Time,,
Plot1.1,44.0656527236,-93.5386297667,314.432,11.25.06 AM,,
Plot1.2,44.0656525503,-93.5386678357,314.402,11.25.18 AM,,
Plot1.3,44.0656492236,-93.5386297667,314.432,11.25.06 AM,,
Plot1.4,44.0656490503,-93.5386678357,314.402,11.25.18 AM,,
Plot2.1,44.0650251841,-93.5388351118,312.48,11.12.02 AM,,
Plot2.2,44.0649974456,-93.5388355125,312.334,11.12.13 AM,,
Plot2.3,44.0650251841,-93.5388386118,312.48,11.12.02 AM,,
Plot2.4,44.0649974456,-93.5388390125,312.334,11.12.13 AM,,
Plot3.1,44.0650535494,-93.5384169621,312.054,11.05.57 AM,,
Plot3.2,44.0650262940,-93.5384181231,311.958,11.06.07 AM,,
Plot3.3,44.0650535494,-93.5384204621,312.054,11.05.57 AM,,
Plot3.4,44.0650262940,-93.5384216231,311.958,11.06.07 AM,,
Plot4.1,44.0652084081,-93.5393319603,313.518,11.17.56 AM,,
Plot4.2,44.0652376199,-93.5393331386,313.577,11.18.06 AM,,
Plot4.3,44.0652084081,-93.5393354603,313.518,11.17.56 AM,,
Plot4.4,44.0652376199,-93.5393366386,313.577,11.18.06 AM,,
Plot5.1,44.0655362998,-93.5383129885,314.322,11.26.06 AM,,
Plot5.2,44.0655068246,-93.5383140092,314.167,11.26.15 AM,,
Plot5.3,44.0655362998,-93.5383164885,314.322,11.26.06 AM,,
Plot5.4,44.0655068246,-93.5383175092,314.167,11.26.15 AM,,
Plot6.1,44.0650651609,-93.5382173206,312.108,11.03.38 AM,,
Plot6.2,44.0650363455,-93.5382180827,311.987,11.03.49 AM,,
Plot6.3,44.0650651609,-93.5382208206,312.108,11.03.38 AM,,
Plot6.4,44.0650363455,-93.5382215827,311.987,11.03.49 AM,,
Plot7.1,44.0651906006,-93.5380854426,312.823,11.01.34 AM,,
Plot7.2,44.0651618685,-93.5380849727,312.689,11.01.45 AM,,
Plot7.3,44.0651906006,-93.5380889426,312.823,11.01.34 AM,,
Plot7.4,44.0651618685,-93.5380884727,312.689,11.01.45 AM,,
Plot8.1,44.0654724700,-93.5385714452,313.93,11.08.47 AM,,
Plot8.2,44.0654453684,-93.5385715791,313.817,11.08.58 AM,,
Plot8.3,44.0654724700,-93.5385749452,313.93,11.08.47 AM,,
Plot8.4,44.0654453684,-93.5385750791,313.817,11.08.58 AM,,
Plot9.1,44.0652020989,-93.5378904392,313.112,11.00.57 AM,,
Plot9.2,44.0651735414,-93.5378906833,312.966,11.01.08 AM,,
Plot9.3,44.0652020989,-93.5378939392,313.112,11.00.57 AM,,
Plot9.4,44.0651735414,-93.5378941833,312.966,11.01.08 AM,,
Plot10.1,44.0649652605,-93.5375780569,312.008,10.59.31 AM,,
Plot10.2,44.0649409346,-93.5375774167,311.942,10.59.42 AM,,
Plot10.3,44.0649652605,-93.5375815569,312.008,10.59.31 AM,,
Plot10.4,44.0649409346,-93.5375809167,311.942,10.59.42 AM,,
Plot11.1,44.0652328618,-93.5374643518,312.874,10.57.40 AM,,
Plot11.2,44.0652053013,-93.5374639924,312.772,10.57.51 AM,,
Plot11.3,44.0652328618,-93.5374678518,312.874,10.57.40 AM,,
Plot11.4,44.0652053013,-93.5374674924,312.772,10.57.51 AM,,
Plot 12.1,44.0652019439,-93.5384664063,312.63,11.07.25 AM,,
Plot12.2,44.0652295357,-93.5384643015,312.724,11.07.34 AM,,
Plot 12.3,44.0652019439,-93.5384699063,312.63,11.07.25 AM,,
Plot12.4,44.0652295357,-93.5384678015,312.724,11.07.34 AM,,
Plot13.1,44.0654964678,-93.5378065553,314.504,11.28.29 AM,,
Plot13.2,44.0654691389,-93.5378062001,314.456,11.28.39 AM,,
Plot13.3,44.0654964678,-93.5378100553,314.504,11.28.29 AM,,
Plot13.4,44.0654691389,-93.5378097001,314.456,11.28.39 AM,,
Plot14.1,44.0653839147,-93.5392670738,313.849,11.18.34 AM,,
Plot14.2,44.0654080703,-93.5392668200,313.88,11.18.42 AM,,
Plot14.3,44.0653839147,-93.5392705738,313.849,11.18.34 AM,,
Plot14.4,44.0654080703,-93.5392703200,313.88,11.18.42 AM,,
Plot15.1,44.0649299780,-93.5392163321,312.305,11.14.11 AM,,
Plot15.2,44.0649034808,-93.5392155330,312.252,11.14.22 AM,,
Plot15.3,44.0649299780,-93.5392198321,312.305,11.14.11 AM,,
Plot15.4,44.0649034808,-93.5392190330,312.252,11.14.22 AM,,
Plot16.1,44.0655805041,-93.5393950761,314.052,11.20.31 AM,,
Plot16.2,44.0655808007,-93.5393554059,314.097,11.20.53 AM,,
Plot16.3,44.0655770041,-93.5393950761,314.052,11.20.31 AM,,
Plot16.4,44.0655773007,-93.5393554059,314.097,11.20.53 AM,,
Plot17.1,44.0649342308,-93.5383024465,311.608,11.05.14 AM,,
Plot17.2,44.0649060933,-93.5383030558,311.544,11.05.23 AM,,
Plot17.3,44.0649342308,-93.5383059465,311.608,11.05.14 AM,,
Plot17.4,44.0649060933,-93.5383065558,311.544,11.05.23 AM,,
Plot18.1,44.0653239519,-93.5386266048,313.329,11.08.06 AM,,
Plot18.2,44.0652974353,-93.5386266963,313.203,11.08.15 AM,,
Plot18.3,44.0653239519,-93.5386301048,313.329,11.08.06 AM,,
Plot18.4,44.0652974353,-93.5386301963,313.203,11.08.15 AM,,
Plot19.1,44.0650253817,-93.5371337379,312.272,10.58.38 AM,,
Plot19.2,44.0649969221,-93.5371343598,312.221,10.58.49 AM ,,
Plot19.3,44.0650253817,-93.5371372379,312.272,10.58.38 AM,,
Plot19.4,44.0649969221,-93.5371378598,312.221,10.58.49 AM ,,
Plot20.1,44.0656198140,-93.5376806316,313.49,9.20.21 AM,,
Plot20.2,44.0656198603,-93.5377202993,313.59,9.20.45 AM,,
Plot20.3,44.0656163140,-93.5376806316,313.49,9.20.21 AM,,
Plot20.4,44.0656163603,-93.5377202993,313.59,9.20.45 AM,,
