#Label,Lat,Lng,Height,Time
Ground1,44.0776625542,-93.5297367352,313.104,2.00.18
Ground2,44.0777971009,-93.5311257662,314.657,1.56.57
Ground3,44.0775868228,-93.5311294135,313.43,1.56.31
Ground4,44.0773836154,-93.5311358085,313.152,1.56.03
Ground5,44.0771814898,-93.5311424588,312.766,1.55.22
Ground6,44.0769846651,-93.5311508727,312.661,1.54.59
Ground7,44.0778500401,-93.5297433199,313.449,1.45.51
Ground8,44.0774511451,-93.5297337428,312.701,1.44.43
Ground9,44.0772358060,-93.5297319284,312.365,1.44.20
Ground10,44.0770271807,-93.5297290829,312.154,12.50.28
Ground11,44.0780357123,-93.5297473053,313.938,12.46.52
Ground12,44.0780457729,-93.5301076562,312.832,12.46.11
Ground13,44.0780458271,-93.5303638067,312.609,12.45.50
Ground14,44.0780443198,-93.5306089909,312.83,12.45.32
Ground15,44.0780433021,-93.5308617057,313.811,12.45.13
Ground16,44.0780405845,-93.5311343542,315.352,12.44.50
Ground17,44.0780388495,-93.5313743208,316.32,12.41.47
Ground18,44.0780386313,-93.5316494275,317.044,12.41.26
Ground19,44.0780367549,-93.5319418188,317.517,12.41.02
Ground20,44.0780366173,-93.5321988631,317.814,12.38.57
Ground21,44.0780366279,-93.5324657590,317.995,12.38.22
Ground22,44.0777515462,-93.5324657946,317.34,12.37.26
Ground23,44.0775575138,-93.5324699422,315.951,12.37.02
Ground24,44.0773629444,-93.5324659410,314.636,12.36.37
Ground25,44.0771729982,-93.5324704181,313.733,12.35.36
Ground26,44.0769794281,-93.5324722080,313.123,12.35.12
Ground27,44.0767902857,-93.5324779831,312.79,12.34.48
Ground28,44.0767908464,-93.5322160127,312.756,12.34.28
Ground29,44.0767917358,-93.5319576886,312.78,12.34.07
Ground30,44.0767921005,-93.5316881515,312.475,12.33.47
Ground31,44.0767905001,-93.5314199918,312.49,12.33.26
Ground32,44.0767893826,-93.5311530636,312.371,12.33.04
Ground33,44.0767882602,-93.5308806357,311.921,12.32.30
Ground34,44.0767885139,-93.5306085076,311.815,12.32.09
Ground35,44.0767888398,-93.5303204631,311.639,12.31.00
Ground36,44.0767911969,-93.5300302087,311.654,12.24.54
Ground37,44.0767908170,-93.5297284780,311.819,12.23.54
