Fields,Geometry,BoundingBox,X,Y,id,left,top,right,bottom
1,'Polygon',"[-93.5301065893531,44.0779939586568;-93.5300315893531,44.0780019586568]","[-93.5301065893531,-93.5300315893531,-93.5300315893531,-93.5301065893531,-93.5301065893531,NaN]","[44.0780019586568,44.0780019586568,44.0779939586568,44.0779939586568,44.0780019586568,NaN]",31,-93.53003709,44.07727187,-93.52996209,44.07726387
2,'Polygon',"[-93.5302882680002,44.0779313392985;-93.5302132680002,44.0779393392985]","[-93.5302882680002,-93.5302132680002,-93.5302132680002,-93.5302882680002,-93.5302882680002,NaN]","[44.0779393392985,44.0779393392985,44.0779313392985,44.0779313392985,44.0779393392985,NaN]",32,-93.53003709,44.07726387,-93.52996209,44.07725587
3,'Polygon',"[-93.5307048026237,44.0778697848469;-93.5306298026237,44.0778777848469]","[-93.5307048026237,-93.5306298026237,-93.5306298026237,-93.5307048026237,-93.5307048026237,NaN]","[44.0778777848469,44.0778777848469,44.0778697848469,44.0778697848469,44.0778777848469,NaN]",33,-93.53003709,44.07725587,-93.52996209,44.07724787
4,'Polygon',"[-93.5303008902615,44.0778102138935;-93.5302258902615,44.0778182138935]","[-93.5303008902615,-93.5302258902615,-93.5302258902615,-93.5303008902615,-93.5303008902615,NaN]","[44.0778182138935,44.0778182138935,44.0778102138935,44.0778102138935,44.0778182138935,NaN]",34,-93.53003709,44.07724787,-93.52996209,44.07723987
5,'Polygon',"[-93.5307138185246,44.0777488397599;-93.5306388185246,44.0777568397599]","[-93.5307138185246,-93.5306388185246,-93.5306388185246,-93.5307138185246,-93.5307138185246,NaN]","[44.0777568397599,44.0777568397599,44.0777488397599,44.0777488397599,44.0777568397599,NaN]",35,-93.53003709,44.07723987,-93.52996209,44.07723187
6,'Polygon',"[-93.5309381341400,44.0776863837183;-93.5308631341400,44.0776943837183]","[-93.5309381341400,-93.5308631341400,-93.5308631341400,-93.5309381341400,-93.5309381341400,NaN]","[44.0776943837183,44.0776943837183,44.0776863837183,44.0776863837183,44.0776943837183,NaN]",36,-93.53003709,44.07723187,-93.52996209,44.07722387
7,'Polygon',"[-93.5304474888108,44.0776269930829;-93.5303724888108,44.0776349930829]","[-93.5304474888108,-93.5303724888108,-93.5303724888108,-93.5304474888108,-93.5304474888108,NaN]","[44.0776349930829,44.0776349930829,44.0776269930829,44.0776269930829,44.0776349930829,NaN]",37,-93.53003709,44.07722387,-93.52996209,44.07721587
8,'Polygon',"[-93.5306329458932,44.0775660697444;-93.5305579458932,44.0775740697444]","[-93.5306329458932,-93.5305579458932,-93.5305579458932,-93.5306329458932,-93.5306329458932,NaN]","[44.0775740697444,44.0775740697444,44.0775660697444,44.0775660697444,44.0775740697444,NaN]",38,-93.53003709,44.07721587,-93.52996209,44.07720787
9,'Polygon',"[-93.5303082833003,44.0775060479959;-93.5302332833003,44.0775140479960]","[-93.5303082833003,-93.5302332833003,-93.5302332833003,-93.5303082833003,-93.5303082833003,NaN]","[44.0775140479960,44.0775140479960,44.0775060479959,44.0775060479959,44.0775140479960,NaN]",39,-93.53003709,44.07720787,-93.52996209,44.07719987
10,'Polygon',"[-93.5301029010769,44.0774450344984;-93.5300279010769,44.0774530344984]","[-93.5301029010769,-93.5300279010769,-93.5300279010769,-93.5301029010769,-93.5301029010769,NaN]","[44.0774530344984,44.0774530344984,44.0774450344984,44.0774450344984,44.0774530344984,NaN]",40,-93.53003709,44.07719987,-93.52996209,44.07719187
11,'Polygon',"[-93.5303914099070,44.0773827587747;-93.5303164099070,44.0773907587748]","[-93.5303914099070,-93.5303164099070,-93.5303164099070,-93.5303914099070,-93.5303914099070,NaN]","[44.0773907587748,44.0773907587748,44.0773827587747,44.0773827587747,44.0773907587748,NaN]",41,-93.53003709,44.07719187,-93.52996209,44.07718387
12,'Polygon',"[-93.5301859375245,44.0773218354362;-93.5301109375245,44.0773298354362]","[-93.5301859375245,-93.5301109375245,-93.5301109375245,-93.5301859375245,-93.5301859375245,NaN]","[44.0773298354362,44.0773298354362,44.0773218354362,44.0773218354362,44.0773298354362,NaN]",42,-93.53003709,44.07718387,-93.52996209,44.07717587
13,'Polygon',"[-93.5309553545108,44.0772587570398;-93.5308803545108,44.0772667570398]","[-93.5309553545108,-93.5308803545108,-93.5308803545108,-93.5309553545108,-93.5309553545108,NaN]","[44.0772667570398,44.0772667570398,44.0772587570398,44.0772587570398,44.0772667570398,NaN]",43,-93.53003709,44.07717587,-93.52996209,44.07716787
14,'Polygon',"[-93.5305147474318,44.0771989588857;-93.5304397474318,44.0772069588857]","[-93.5305147474318,-93.5304397474318,-93.5304397474318,-93.5305147474318,-93.5305147474318,NaN]","[44.0772069588857,44.0772069588857,44.0771989588857,44.0771989588857,44.0772069588857,NaN]",44,-93.53003709,44.07716787,-93.52996209,44.07715987
15,'Polygon',"[-93.5307101549777,44.0771374322546;-93.5306351549777,44.0771454322546]","[-93.5307101549777,-93.5306351549777,-93.5306351549777,-93.5307101549777,-93.5307101549777,NaN]","[44.0771454322546,44.0771454322546,44.0771374322546,44.0771374322546,44.0771454322546,NaN]",45,-93.53003709,44.07715987,-93.52996209,44.07715187
16,'Polygon',"[-93.5308290417386,44.0770758067062;-93.5307540417386,44.0770838067062]","[-93.5308290417386,-93.5307540417386,-93.5307540417386,-93.5308290417386,-93.5308290417386,NaN]","[44.0770838067062,44.0770838067062,44.0770758067062,44.0770758067062,44.0770838067062,NaN]",46,-93.53003709,44.07715187,-93.52996209,44.07714387
17,'Polygon',"[-93.5308606303643,44.0770154815083;-93.5307856303644,44.0770234815083]","[-93.5308606303643,-93.5307856303644,-93.5307856303644,-93.5308606303643,-93.5308606303643,NaN]","[44.0770234815083,44.0770234815083,44.0770154815083,44.0770154815083,44.0770234815083,NaN]",47,-93.53003709,44.07714387,-93.52996209,44.07713587
18,'Polygon',"[-93.5305929343552,44.0769540640984;-93.5305179343552,44.0769620640984]","[-93.5305929343552,-93.5305179343552,-93.5305179343552,-93.5305929343552,-93.5305929343552,NaN]","[44.0769620640984,44.0769620640984,44.0769540640984,44.0769540640984,44.0769620640984,NaN]",48,-93.53003709,44.07713587,-93.52996209,44.07712787
