#Label,Lat,Lng,Height,Time
Plot1,44.0768437457,-93.5298096708,319.131,11.08.48
Plot2,44.0769025289,-93.5302580563,319.204,11.09.25
Plot3,44.0769640590,-93.5305780273,319.633,11.10.26
Plot4,44.0770254892,-93.5308753284,319.822,11.10.57
Plot5,44.0770875638,-93.5305899730,319.878,11.11.28
Plot6,44.0771504932,-93.5302763481,319.749,11.11.58
Plot7,44.0772136479,-93.5299789301,319.645,11.12.25
Plot8,44.0772747764,-93.5302936313,319.803,11.12.55
Plot9,44.0773366568,-93.5306044959,319.922,11.13.24
Plot10,44.0773968437,-93.5308920525,320.035,11.13.52
Plot11,44.0774610445,-93.5306160289,319.788,11.14.24
Plot 12,44.0775240793,-93.5303174474,319.564,11.14.54
Plot13,44.0775895197,-93.5300414597,319.804,11.15.29
Plot14,44.0776476592,-93.5303385837,319.639,11.16.11
Plot15,44.0777052655,-93.5306647149,319.881,11.16.43
Plot16,44.0777624548,-93.5310126144,321.191,11.17.23
Plot17,44.0778282309,-93.5307376738,320.155,11.17.51
Plot18,44.0778930398,-93.5304121810,319.797,11.18.43
Plot19,44.0779572090,-93.5301138484,320.001,11.19.17
Plot20,44.0780156806,-93.5304282213,319.975,11.19.45
Plot21,44.0768427503,-93.5311869138,319.819,11.43.10
Plot22,44.0769056548,-93.5315144169,320.049,11.42.38
Plot23,44.0769681208,-93.5322753469,320.393,11.41.40
Plot24,44.0770285632,-93.5318796679,320.553,11.41.01
Plot25,44.0770903087,-93.5316509417,320.43,11.40.35
Plot26,44.0771511950,-93.5320059582,321.029,11.40.02
Plot27,44.0772118844,-93.5314119842,320.387,11.39.14
Plot28,44.0772731956,-93.5323556622,321.576,11.36.55
Plot29,44.0773341320,-93.5320411693,321.979,11.32.35
Plot30,44.0773930013,-93.5316899767,322.057,11.30.54
Plot31,44.0774540209,-93.5315069004,321.852,11.29.44
Plot32,44.0775132319,-93.5318182773,323.291,11.27.44
Plot33,44.0775749122,-93.5320564288,323.794,11.26.24
Plot34,44.0776357117,-93.5322615023,319.609,11.24.58
Plot35,44.0776964731,-93.5318789293,324.346,11.24.11
Plot36,44.0777588772,-93.5315838357,323.639,11.23.42
Plot37,44.0778198132,-93.5320415454,324.742,11.23.00
Plot38,44.0778801081,-93.5324448890,325.254,11.22.23
Plot39,44.0779424489,-93.5321995438,324.954,11.21.51
Plot40,44.0780037509,-93.5317266088,324.559,11.21.10
